park,agency,park_zip,park_lat,park_lon,qpartysize25,qpartysize50,qpartysize75,qleadt25,qleadt50,qleadt75,qdur25,qdur50,qdur75,qdist25,qdist50,qdist75,res_count,sum_dur,sum_persnight
ANCHOR PASS CABIN,USFS,   NaN,55.9713889,-131.3933333,2,3,4,2,16,65.8,1,2,3,43.2,43.2,216.3,159,368,1186
ANDERSON COVE,USFS,   NaN,41.2516667,-111.7897222,4,8,10,28,123,178,1,2,3,29.3,46.8,72.8,10937,26154,317330
ANDERSON MEADOW CAMPGROUND,USFS,   NaN,38.2108889,-112.43155,2,4,6,9,21.5,37,2,2,3,266.6,330,350.7,164,410,2269
ANDERSON ROAD,USACE,37214,36.1061111,-86.6038889,2,4,6,0,3,21,1,2,3,11.6,35.1,479.3,7206,15983,63963
ANGEL CREEK,USFS,   NaN,41.0327778,-115.0533333,2,3,5,9,23,55.5,1,2,3,260.1,574.4,744.6,888,1702,7097
ANGEL LAKE,USFS,   NaN,41.0327778,-115.0919444,2,4,6,8,19,50,1,2,3,97.2,434.2,721.9,1155,2567,11682
ANGEL OF SHAVANO GROUP,USFS,91355,38.5827778,-106.22,25,40,50,94,178,331,2,3,3,127.9,152.6,181.9,185,502,19257
ANSEL WATROUS,USFS,   NaN,40.6897083,-105.3491639,2,4,7,20.2,64,113,2,2,2,34,83,117.8,2843,6053,27874
ANTELOPE,USFS,84319,44.3352778,-116.185,3,4.5,8,32,77,143,2,2,3,78.3,82.9,86.9,2056,5389,32439
ANTELOPE FLAT,USFS,84097,40.965,-109.5516667,3,5,10,9,23,71.7,2,2,3,193.3,206.4,342,1055,2758,36382
ANTHONY CREEK HORSE CAMP,NPS,   NaN,35.6002778,-83.7672222,2,3,5,10,40,80,2,3,4,127.2,247.5,402.8,573,1850,6509
ANTHONY LAKE GUARD STATION,USFS,97814,44.9622222,-118.2305556,3,5,8,95,174,181,2,3,4,198.5,320.5,390.1,290,1009,5306
ANTLERS,USFS,   NaN,40.8875,-122.3775,3,5,8,9,21,43,2,3,3,233,341.6,424.6,2155,6282,41149
ANTLERS GUARD STATION CABIN,USFS,97814,44.6336111,-118.2875,2,3,5,16,45,115,2,3,4,194,351.3,371.8,338,1049,3640
ANTONE CABIN,USFS,59858,44.7808333,-112.21,2,2,2,7,37,104.5,1,2,3,136.1,211.7,367.1,265,785,1539
APACHE MAID CABIN,USFS,   NaN,34.7112917,-111.5205139,4,6,6,6.7,19,42,1,2,2,128.5,146.4,254.9,245,473,2380
APACHE TROUT CAMPGROUND,USFS,   NaN,33.8689333,-109.4166667,2,4,7,15,46,120,3,4,5,218.1,236.2,264.3,4667,20576,112675
APGAR GROUP SITES,NPS,   NaN,48.525,-113.9836111,9,9,15,37,113,214,1,2,3,192.9,655.8,1628.4,790,2036,24753
APPALACHIAN CLUBHOUSE,NPS,   NaN,35.6533333,-83.5816667,60,96,96,72.2,144,239,1,1,1,39.9,61.2,453.9,83,6,498
APPLEGATE COVE,USACE,   NaN,35.3619444,-94.8230556,2,4,6,8,28,89,3,3,5,19.9,37.9,124.6,642,2777,11093
APPLETON COVE CABIN,USFS,   NaN,57.4669444,-135.27,2,4,4,2,9.5,53,1,2,3,44.3,44.3,44.3,214,580,2068
AQUARIUS RANGER STATION,USFS,   NaN,38.1952778,-111.5761111,3,5,10,29,94.5,159,2,3,3,144.6,246.4,283.4,296,862,7701
ARAPAHO BAY,USFS,   NaN,40.1194389,-105.7558083,3,4,5,19,54,138,2,2,3,63.6,82.2,98.4,8379,20910,93177
ARCH DAM CAMPGROUND,USFS,84097,40.9116667,-109.4111111,25,40,60,52,110.5,179,2,2.5,3,196.8,212,225.2,330,941,41682
ARID PEAK LOOKOUT,USFS,   NaN,47.3588889,-115.7652778,2,2,4,47,102,146,1,1,2,113.2,141.8,568.4,94,144,382
ARLIE MOORE,USACE,   NaN,34.2716667,-93.2041667,1,2,4,0,0,4,2,3,6,28.6,77,110.3,8962,42870,105756
ARMSTRONG,USFS,94301,45.1627778,-122.1516667,2,4,6,7,21,69,2,2,2,49.8,56.1,67.6,1234,2636,10973
ARROW ROCK,USACE,   NaN,38.4908528,-95.7595167,2,4,6,0,7,45,2,2,3,33.7,55,102.3,4424,11069,48602
ARROWHEAD CAMPGROUND,USFS,   NaN,35.4391667,-80.0705556,2,4,5,7,18,42,2,2,3,61.3,105.8,204.2,10265,27456,110025
ARROYO SECO,USFS,91355,36.2397222,-121.4786111,3,6,8,8,25,68,1,2,2,110.2,149.3,198.8,8474,17218,131672
ASH GROUP CAMPGROUND,USACE,   NaN,38.9039444,-95.3870583,20,35,50.5,16,36,63,1,2,2,32.6,53.1,67.8,92,156,6006
ASPEN (AZ),USFS,   NaN,34.3266667,-110.9458333,3,4,8,16,41,88,2,2,3,128.6,137.6,148.9,15076,42500,202371
ASPEN (CO),USFS,   NaN,39.4252778,-105.8408333,3,4,7,18,39,106,2,2,3,72.6,80.8,94,1661,4073,19316
ASPEN (UT),USFS,   NaN,40.4972222,-110.8458333,3,6,8,13,32,119.7,2,3,3,84,95.5,102.1,1487,4161,31529
ASPEN CABIN,USFS,97630,42.2911111,-120.1922222,2,2,4,13,35.5,81,1,2,3,256.5,371.4,417,228,556,1565
ASPEN FLATS CABIN,USFS,   NaN,60.3719444,-149.9738889,2,3,4,6,44,130.5,1,1,2,82.4,94,2725.9,588,845,2763
ASPEN GLADE,USFS,84319,37.0725,-106.2730556,2,2,4,14,45,135,2,3,4.5,211.9,298.8,574.4,1756,6763,21823
ASPEN GROUP (INYO),USFS,   NaN,37.5236111,-118.7119444,10.2,18,25,169,334,363.8,3,4,6,333.3,384.5,419.7,211,966,16094
ASPEN GROUP (TAHOE),USFS,   NaN,39.5072222,-120.54,20,25,30,42.5,128.5,214.5,2,2,3,66.5,105.8,175.5,388,1114,29721
ASPEN GROUP AREA,USFS,   NaN,33.0344444,-105.8,20,30,35,19.8,48,102.3,2,2,3,100.3,148.9,160.6,97,237,7166
ASPEN GROVE,USFS,   NaN,40.1205556,-111.0366667,3,5,8,11,25,71,2,3,3,82.1,95.4,109.7,3245,8760,49305
ASPEN GROVE CAMPGROUND,USFS,   NaN,40.5550194,-120.7744139,3,5,8,11,29,70.5,2,3,5,148.6,238.7,370.9,300,1202,6389
ASPEN GROVE GROUP USE AREA,USFS,59644,46.9786111,-112.5313889,14.8,20,38.5,24.5,65,149.2,1.8,3,3.3,69.7,111.2,156,97,273,6932
ASPEN HOLLOW GROUP,USFS,94301,36.7811111,-118.9027778,50,61,100,293.5,360,366,3,3,5,69.4,269.6,332,171,646,44971
ASPEN LEAF,USFS,81506,38.6505556,-108.6736111,2,4,6,12,36.5,81,2,2,4,303.4,365.9,1270.4,82,264,1204
ASPEN POINT,USFS,   NaN,42.3847222,-122.2125,3,4,6,15,40,116,2,2,3,51,59.5,288.2,5428,14991,90758
ASPENGLEN CAMPGROUND,NPS,   NaN,40.4222222,-105.6202778,2,2,4,2,27,100,1,2,2,84.9,786.4,1456.5,20179,40134,131626
ASSATEAGUE ISLAND NATIONAL SEASHORE,NPS,   NaN,38.0833333,-75.2,2,3,6,5,43,127,1,2,3,185.3,209.5,309.4,82514,191791,804235
ATLANTA CABIN,USFS,   NaN,43.8027778,-115.1283333,2,3,4,20.8,51,113.2,2,2,3,88.8,104.6,166,273,671,2022
AUK VILLAGE CAMPGROUND,USFS,   NaN,58.3755556,-134.7094444,2,2,4,0,0,2,1,1,2,31.1,71.7,1486.2,370,751,1926
AUNTS CREEK,USACE,   NaN,36.6736111,-93.4597222,2,4,6,0,6,35,2,2,3,40.4,56.4,111.5,8160,23676,106359
AUSABLE RIVER CAMPING,USFS,48750,44.4352778,-83.6238889,2,4,9,4,30,131,2,3,4,111.2,194.1,225.6,14084,43831,252125
AUX ARC,USACE,72082,35.4702778,-93.8180556,1,2,3,0,0,12,2,3,5,24.8,47.8,112.7,19052,72346,180385
AVERY CREEK CABIN,USFS,   NaN,47.6880556,-115.9266667,2,4,4,79.5,138,180,2,2,3,64.9,108.9,132.5,195,470,1762
AVINTAQUIN CAMPGROUND,USFS,   NaN,39.8841667,-110.7752778,2,5,8,9,21.5,44,2,2,3,66.1,119.4,167.8,272,653,6061
AVONDALE,USACE,37075,36.3230556,-86.5413889,28,35,50,6,19,45.5,NaN,NaN,NaN,6,16,27.1,88,0,0
AVOSS LAKE CABIN,USFS,   NaN,56.7052778,-134.9238889,2,2,3,2,29,84.2,2,2,3.8,54.8,54.8,54.8,27,76,211
AXTEL,USACE,   NaN,37.6225,-86.4530556,3,5,6,0,12,59,2,2,3,46.7,71.6,87.6,23164,65396,293722
Adams Fork Campground,USFS,97408,46.3388889,-121.6469444,2,4,6,6,14,37,2,3,3,108.8,124.8,157.3,788,2080,12231
Agua Piedra Campground,USFS,   NaN,36.1352778,-105.5291667,25,40,50,81.8,183,352,2,3,3,58.3,111.6,209.1,183,525,19867
Alosa Campsites,NPS,   NaN,41.0840278,-74.9745833,2,4,6,4,11,21,1,1,1,82.8,97.4,125.6,121,121,571
Anan Wildlife Observatory Permits,USFS,   NaN,56.1791667,-131.8836111,1,1,1,1,71,90,NaN,NaN,NaN,9.1,9.1,1117.4,481,0,0
Anthony Lake,USFS,   NaN,44.9631917,-118.2335528,20,30,60,76.5,165,291.5,2,3,4,137.7,165.5,247.8,111,364,13769
Aravaipa Canyon Wilderness Permits,BLM,   NaN,32.8318444,-109.7241556,NaN,NaN,NaN,6,66,89,NaN,NaN,NaN,181.7,230.1,884.7,104,0,0
Atkisson Group camp,USFS,   NaN,45.9625,-121.6088889,20,30,50,29.2,72,185.2,2,2,3,93.2,121.9,188.2,87,213,6502
AuTrain Lake Campground,USFS,   NaN,46.3916667,-86.8380556,2,3,5,7,17,38,2,2,3,69.6,388.5,515.9,1265,3433,12778
Axolotl Cabin,BLM,   NaN,45.2405556,-11.8713889,2,4,6,71,101,113,1,2,2,7192.6,7236.3,7305.5,30,51,209
BABY DOE,USFS,91355,39.2697222,-106.3505556,2,4,6,28,130,180,2,3,3,120.6,131.1,144,7493,20772,90774
BACKBONE ROCK CAMPGROUND,USFS,   NaN,36.5938889,-81.815,2,4,5,5,11,29.2,2,2,3,175.8,234.2,497.8,37,112,516
BACKBONE ROCK RECREATION AREA PAVILIONS,USFS,   NaN,36.5938889,-81.815,30.2,50,70,13.2,52,145.5,NaN,NaN,NaN,16.6,32.7,73.5,43,0,0
BAD BEAR CAMPGROUND,USFS,   NaN,43.9086111,-115.6963889,2,4,5.3,7,16,31,2,2,2,56.5,65.3,81.1,269,566,2450
BADGER FLATS GROUP,USFS,94301,37.2694444,-119.115,25,50,93.5,52.2,131,218,2,2,5,81.6,286,378.8,75,251,15549
BADIN LAKE CAMPGROUND,USFS,   NaN,35.4484722,-80.0786611,2,4,6,6,17,38,2,2,2,59.5,81.3,122.7,9286,20348,95002
BADIN LAKE GROUP CAMP,USFS,   NaN,35.4513889,-80.0727778,15,26,50,22,56,148.5,2,2,2,69.1,108.5,137.5,809,1687,52721
BAILEY COVE,USFS,   NaN,40.8016667,-122.2819444,2,4,8,11,28,79,1,2,3,275.1,371.2,742.7,1211,2901,16736
BAILEYS POINT,USACE,   NaN,36.8908333,-86.0952778,2,4,6,3,21,118,2,3,4,32.5,56.4,143.6,34698,112030,444236
BAKEWELL LAKE CABIN,USFS,   NaN,55.2605556,-130.6711111,2,2,2.7,22.2,141,181,1,3,5,58.2,1026.2,2467.7,31,107,273
BALD BUTTE LOOKOUT,USFS,97630,42.6141667,-120.7888889,2,2,2,32.8,86,152.2,1,2,3,252,347.8,361.1,249,547,1030
BALD KNOB LOOKOUT,USFS,97466,42.625,-124.125,2,2,4,63.5,140,177.5,1,2,2,118.2,323.7,348.8,552,1087,2874
BALD MOUNTAIN CAMPGROUND,USFS,59718,44.8041667,-107.86,2,2,4,9,22,60,1,2,3,124,560.2,1445.8,503,1156,3454
BALD MOUNTAIN LOOKOUT,USFS,83855,47.0319444,-116.5719444,2,3,4,54,130,177.5,2,2,2,47,85.4,106.8,256,566,1645
BALD RIDGE CREEK,USACE,   NaN,34.2038889,-84.0861111,2,3,5,3,17,62,2,3,4,12.2,29,54.2,19843,69692,273220
BALSAM,USFS,   NaN,40.1977778,-111.4013889,4,8,8,10,23,63.8,1,2,2,26,46.4,67.5,1139,2062,29986
BALSAM GLADE PICNIC AREA,USFS,   NaN,35.2136111,-106.4072222,21.5,30,30,4.2,12,22.8,NaN,NaN,NaN,16.1,24.6,27.9,55,0,0
BALSAM LAKE LODGE ,USFS,   NaN,35.2675,-83.0194444,12,16,16,85,171,261.8,2,2,3,28,62.8,260.8,349,957,13061
BANDIDO GROUP CAMPGROUND,USFS,   NaN,34.3452778,-118.0047222,12,20,35,19,43,86,1,2,2,35,44.2,58.5,735,1213,34002
BANDITS ROOST,USACE,   NaN,36.1197222,-81.2452778,2,2,4,0,18,93,2,3,4,33.7,53.4,107.9,31610,107692,338279
BANDY CREEK,NPS,   NaN,36.4877778,-84.6908333,2,3,4,3,20,72,2,2,3,81.2,121.3,210.7,25310,73569,255373
BAR GULCH,USFS,59644,46.6969444,-111.6241667,2,4,6,8.5,30,87,1,2,3,31.7,42.5,154.2,844,1762,6960
BARANOF LAKE CABIN,USFS,   NaN,57.0680556,-134.8938889,2,2,3,1,7,40.5,1,2,3,36.2,147.1,1732.2,83,181,493
BARBER CABIN,USFS,   NaN,60.4377778,-149.985,2,4,6,29,127,180,1,1,2,54.1,79.7,87.1,1334,2141,9060
BARBER FLAT CABIN,USFS,   NaN,43.8219444,-115.5366667,3,4,6,34,100,163,2,2,3,62.3,68,90,326,815,3539
BARKER RECREATION AREA,USFS,   NaN,37.9205556,-111.8152778,3,6,15.8,12,29,92,2,3,4,189.1,320.2,542,407,1233,15605
BARNES FIELD CAMPGROUND,USFS,   NaN,44.3388889,-71.2186111,5.5,10,17,11,32,95,2,2,3,141.2,219,303.3,1556,3680,47350
BARNES LAKE CABIN,USFS,   NaN,56.0108333,-132.9744444,2,3,4,2,4,36.8,1,1,3.8,48.3,110,1866.4,55,133,428
BARNEYS,USFS,   NaN,44.3339167,-115.6500722,4,6,8,23,70,159.8,2,3,4,88.7,98.1,104.3,279,973,5885
BARTON FLATS,USFS,94301,34.1722222,-116.8744444,3,5,8,7,24,54,2,2,3,55.1,95.7,119.5,8734,19108,111772
BARTOO ISLAND GROUP SITE,USFS,   NaN,48.5511111,-116.8655556,10,10,15,179,235.5,364,3,5,8,96.1,99.8,106.6,66,401,5144
BASIN CAMPGROUND,USFS,   NaN,44.2675,-71.0227778,2,4,5,11,24,60,2,2,3,86.7,137.2,217.6,1867,5042,18980
BASIN MONTANA CAMPGROUND,USFS,59718,45.1625,-109.3916667,2,4,4,13,27,70,2,2,3,88.6,92.5,105.5,2226,5415,20291
BASIN STATION CABIN,USFS,   NaN,44.7097222,-111.2352778,2,3,4,10,28,83,1,2,3,113.9,313.4,934.6,630,1365,4142
BASSAM GUARD STATION,USFS,   NaN,38.7466667,-105.9433333,2,2,4,16,56,137,2,2,3,119.6,137.4,174,519,1220,4496
BATTLE RIDGE CABIN,USFS,   NaN,45.8747222,-110.8919444,2,4,4,18,51,117,1,1,2,23.7,34.2,119.6,1296,2246,7415
BATTLE RUN,USACE,26651,38.2216667,-80.9097222,2,4,7,0,43,181,2,3,5,33.2,70.9,123.1,21941,89934,439396
BAUMGARTNER CAMPGROUND,USFS,   NaN,43.6125,-115.0802778,4,6,8,18,59,137.7,2,3,3,92.2,101.7,124,2223,6657,54629
BAXTER,USACE,   NaN,36.5669444,-93.5013889,2,4,6,0,8,40,2,3,4,50.7,68.2,212.2,5091,16237,67737
BAY FURNACE CAMPGROUND,USFS,   NaN,46.4383333,-86.7083333,2,3,4,12,31,85,2,2,3,375.5,492.4,545,3577,10099,35797
BAY VIEW,USFS,   NaN,46.46,-84.7794444,2,3,5,14,52,143,2,3,5,200.2,431.7,476.3,2007,7884,28172
BEACH RIVER CABIN,USFS,   NaN,60.0186111,-147.3808333,2,3,4,14,114,182,3,6,7,187,203,210,78,394,1211
BEAR BASIN LOOKOUT AND CABIN,USFS,   NaN,41.8091667,-123.74,2,4,6,45.2,173,181,1,2,3,90.9,117.3,397.7,327,708,3444
BEAR CANYON,USFS,   NaN,39.7875,-111.7297222,35.2,50,75,31,77,143.8,1,2,3,31.6,69.2,98.1,275,533,27256
BEAR CREEK,USACE,   NaN,32.5997222,-97.5,2,3,5,0,0,10,2,2,3,17,26,39.5,4841,15088,57597
BEAR CREEK BUNKHOUSE,USFS,59858,45.1555556,-111.5555556,2,2,2,4,12,38.3,1,2,2,62.3,75,231,153,298,567
BEAR CREEK CABIN,USFS,59858,45.1555556,-111.5555556,2,4,4,10,25.5,54,1,2,2,62.3,75,242.6,294,548,1689
BEAR CREEK COVE,USACE,   NaN,36.8399833,-96.9108167,3,5,8,7,15,36,3,3,4,27.3,85.7,116.6,891,3118,15207
BEAR GULCH,USFS,   NaN,44.0744444,-103.5255556,15.7,30,40,122.2,285,360.2,2,3,4,16.6,27.5,44.3,237,687,19020
BEAR RIVER GROUP CAMPGROUND,USFS,   NaN,38.5338889,-120.2188889,25,25,25,62.2,154,209.5,2,2,3,103.4,118.8,189,431,1109,30631
BEAR SPRINGS GROUP CAMPGROUND,USFS,94301,45.1252778,-121.5325,20,30,50,25,66.5,174,2,2.5,3,97.3,105.5,116.6,160,390,12041
BEARD'S BLUFF PARK (AR),USACE,   NaN,33.7058528,-93.93535,2,2,3,0,4,29,2,4,8,31.6,61.4,230.5,238,1276,3283
BEARTREE,USFS,   NaN,36.6847222,-81.6472222,3,5,10,11,28,60.8,2,2,2,138.3,178.1,249.9,5595,11922,87718
BEAUTY CREEK CAMPGROUND,USFS,   NaN,47.6063889,-116.6686111,2,3,5,11,25,59,1,1,2,320,483,1239,931,1695,6902
BEAVER CAMP CABIN,USFS,   NaN,55.5341667,-131.0819444,2,2.5,4,16,63.5,181,3,4,5,42.9,1867.2,2713.6,6,23,66
BEAVER CREEK (IDAHO),USFS,   NaN,48.7341667,-116.8691667,2,4,6,29,136,180,2,3,4,110.9,123.5,132.1,3408,12216,65908
BEAVER CREEK (MO),USACE,   NaN,36.6397222,-93.0458333,5,7,8,0,0,0,2,2,4,11.6,28.5,69.2,2761,9807,62782
BEAVER CREEK CABIN (ID),USFS,   NaN,43.9672222,-115.6133333,3,4,6,22,58,123,1,2,2,62.4,69.2,77.5,647,1313,5501
BEAVER CREEK CABIN (MT),USFS,   NaN,44.9158333,-111.3558333,2,3,4,14,42,99,1,2,3,89.7,122,738.1,747,1625,4768
BEAVER CREEK CAMPGROUND,USFS,   NaN,44.8613889,-111.3727778,2,3,4,6,15,38,2,2,3,100.8,282,898.5,1596,4405,15528
BEAVER CREEK RECREATION AREA,USACE,   NaN,46.2497222,-100.5333333,2,3,4,0,9,107,2,2,3,52.1,56.7,75.5,6607,16297,55001
BEAVER DAM CAMPGROUND,USFS,71040,32.6736111,-93.3055556,2,2,4,7,14,32,2,3,4,26.4,68.7,394.3,855,2757,8461
BEAVER LAKE,USFS,54527,46.3008333,-90.8783333,2,3,5,9,21,58.8,2,3,4,187,308.2,398,371,1219,4913
BEAVER MEADOWS,USFS,   NaN,41.5236111,-79.1127778,2,3,4,8,12,24,2,2,3,128.5,145,237.6,247,607,2063
BEAVER SULPHUR,USFS,   NaN,42.1130556,-123.0327778,10.2,20,30,31.8,71,168.8,2,3,3,19.8,35,255.2,71,214,4400
BEECH FORK SHELTERS,USACE,   NaN,38.3044444,-82.4158333,35,50,71,17.8,46,128,NaN,NaN,NaN,9.7,10.1,16.6,1257,0,0
BEECHER PASS CABIN,USFS,   NaN,56.5791667,-133.0697222,2,3,4,1,8,71.5,1,2,3,15.2,15.2,1499.8,295,709,2158
BELKNAP,USFS,94301,36.1416667,-118.5997222,2,4,6,15,48,122,2,2,3,205.2,238.6,276.7,3227,8086,35455
BELL BAY CAMPGROUND,USFS,   NaN,47.4763889,-116.8413889,2,4,6,11,28,72.8,1,2,3,45.8,289,502.9,721,1785,13603
BELLAH MINE,USACE,71832,34.1444444,-94.3963889,1,1,3,0,0,4,2,4,7,18.8,52.8,89.3,2758,15281,33052
BELLAIRE LAKE CAMPGROUND,USFS,   NaN,40.7651417,-105.6118667,2,4,7,17,72,165,2,2,3,58,88.3,116.3,3693,9689,47807
BELLE STARR,USACE,   NaN,35.3330556,-95.5,2,3,5,0,3,44,2,3,5,44.9,89.7,179.7,14510,53853,200222
BELOW DAM SOUTH CAROLINA,USACE,   NaN,33.6583333,-82.2091667,35,47.5,60,13,31.5,58,NaN,NaN,NaN,18.1,23.2,41.2,98,0,0
BELTON LAKEVIEW PARK,USACE,   NaN,31.1044444,-97.4847222,51,100,120,23,45,93,1,1,2,6.9,7.4,23.3,963,147,8157
BEN ROVER CABIN,USFS,   NaN,48.7711111,-114.2788889,3,5,8,58.8,158,181,1,2,3,40.6,85.6,213.7,1149,2306,12012
